Client;Type;Company_Count
8;Monitoring;1676
8;Monitoring;1676
8;Screening;6
8;Monitoring;962
8;Screening;4
8;Screening;3
8;Monitoring;962
8;Screening;4
8;Monitoring;4
8;Screening;4
40;Monitoring;4
8;Monitoring;989
8;Screening;4
8;Screening;4
8;Screening;5
8;Monitoring;1002
8;Screening;6
8;Screening;2
8;Screening;5
8;Monitoring;1016
8;Screening;1
8;Screening;2
8;Screening;2
8;Screening;3
8;Screening;2
8;Screening;5
8;Screening;2
8;Screening;5
8;Screening;5
8;Screening;4
8;Monitoring;1013
8;Screening;3
8;Monitoring;1047
8;Screening;5
8;Screening;5
8;Monitoring;1045
8;Screening;1
40;Screening;2
40;Screening;1
8;Screening;8
8;Screening;3
8;Screening;7
8;Monitoring;1079
8;Screening;7
8;Monitoring;1078
8;Screening;4
8;Screening;8
1;Screening;1065
8;Screening;5
8;Screening;9
8;Monitoring;1104
8;Screening;5
8;Screening;3
8;Screening;10
8;Monitoring;1122
8;Screening;11
16;Monitoring;1253
8;Screening;2
16;Screening;3
8;Screening;2
8;Screening;6
1;Screening;519
8;Screening;4
8;Monitoring;1136
8;Screening;8
16;Screening;10
8;Screening;7
1;Screening;8
1;Screening;37
1;Screening;360
8;Screening;4
16;Screening;6
16;Screening;3
8;Screening;4
16;Screening;3
8;Monitoring;1159
1;Screening;6
16;Screening;3
8;Screening;3
8;Screening;7
16;Screening;11
8;Screening;7
16;Screening;5
16;Monitoring;1812
8;Screening;3
16;Screening;7
8;Screening;6
16;Screening;1
8;Screening;3
16;Screening;2
8;Screening;6
8;Monitoring;1194
8;Screening;3
16;Screening;4
1;Screening;12
16;Screening;6
8;Screening;3
8;Screening;5
8;Screening;5
16;Monitoring;1812
16;Monitoring;1812
16;Screening;5
8;Monitoring;1209
36;Monitoring;88
36;Screening;50
8;Screening;3
16;Screening;8
16;Screening;4
8;Screening;3
8;Screening;6
16;Screening;6
16;Screening;4
8;Screening;4
8;Monitoring;1222
16;Screening;4
8;Screening;6
8;Monitoring;1228
16;Screening;6
36;Screening;2
8;Monitoring;1233
8;Screening;5
8;Monitoring;1232
36;Monitoring;90
16;Screening;4
8;Screening;5
8;Monitoring;1230
8;Screening;2
16;Screening;6
8;Screening;12
8;Screening;1
16;Screening;8
8;Screening;6
8;Screening;6
16;Screening;17
8;Monitoring;1244
8;Monitoring;1255
16;Screening;10
44;Monitoring;204
16;Screening;3
8;Screening;5
44;Monitoring;225
16;Monitoring;2196
8;Monitoring;1261
16;Monitoring;2290
16;Monitoring;2303
16;Screening;9
16;Monitoring;2303
8;Screening;3
16;Screening;1
44;Monitoring;229
8;Screening;11
8;Monitoring;1274
8;Monitoring;1260
8;Screening;1
8;Screening;8
16;Screening;8
16;Screening;10
16;Monitoring;2310
